model,backend,batch_size,run,status,duration_us,throughput_records_per_second,avg_us,min_us,max_us,avg_records_per_second,emitted_records,runtime_buffer_pool_size,cycles_per_record,instructions_per_record,cycles_per_batch,instructions_per_batch,l1_misses_per_record,llc_misses_per_record,cache_misses_per_kinstr,branch_miss_rate,dtlb_misses_per_record,ipc,ghz
nbeats-large.onnx,OpenVINO,1,0,ok,4.34293e+08,2414.45,4.34293e+08,4.34293e+08,4.34293e+08,2414.45,1048576,1034,1.4458e+06,2.03789e+06,1.4458e+06,2.03789e+06,122537,1594.51,3.26077,0.00331715,1480.61,1.40953,3.4918
nbeats-large.onnx,OpenVINO,2,0,ok,2.28355e+08,4591.86,2.28355e+08,2.28355e+08,2.28355e+08,4591.86,1048576,524,760350,1.54797e+06,1.5207e+06,3.09593e+06,46529.4,465.735,1.53523,0.00269899,722.731,2.03586,3.492
nbeats-large.onnx,OpenVINO,4,0,ok,1.93616e+08,5415.75,1.93616e+08,1.93616e+08,1.93616e+08,5415.75,1048576,268,644427,1.38284e+06,2.57771e+06,5.53134e+06,28619.2,396.578,2.17709,0.0026127,348.221,2.14584,3.49135
nbeats-large.onnx,OpenVINO,8,0,ok,1.36052e+08,7707.16,1.36052e+08,1.36052e+08,1.36052e+08,7707.16,1048576,140,452909,1.14393e+06,3.62327e+06,9.15141e+06,15511.5,160.717,1.55557,0.00314152,178.468,2.52573,3.49139
nbeats-large.onnx,OpenVINO,16,0,ok,9.84398e+07,10652,9.84398e+07,9.84398e+07,9.84398e+07,10652,1048576,76,327795,1.16916e+06,5.24471e+06,1.87065e+07,2452.97,8.69865,0.388853,0.00293371,68.3913,3.56674,3.49171
nbeats-large.onnx,OpenVINO,32,0,ok,9.05391e+07,11581.5,9.05391e+07,9.05391e+07,9.05391e+07,11581.5,1048576,62,301338,1.05676e+06,9.64281e+06,3.38164e+07,3283.63,13.5704,0.659481,0.00397444,33.8406,3.5069,3.48976
nbeats-large.onnx,OpenVINO,64,0,ok,7.96856e+07,13158.9,7.96856e+07,7.96856e+07,7.96856e+07,13158.9,1048576,58,265356,980918,1.69828e+07,6.27787e+07,2793.59,5.46361,0.276124,0.00482846,17.6735,3.69661,3.49169
nbeats-large.onnx,OpenVINO,128,0,ok,7.87344e+07,13317.9,7.87344e+07,7.87344e+07,7.87344e+07,13317.9,1048576,58,262123,949897,3.35517e+07,1.21587e+08,1721.09,31.4173,0.856669,0.00504145,8.70516,3.62386,3.49118
nbeats-large.onnx,OpenVINO,256,0,ok,7.56309e+07,13864.4,7.56309e+07,7.56309e+07,7.56309e+07,13864.4,1048576,70,251800,939372,6.44609e+07,2.40479e+08,1542.97,16.0095,0.466963,0.00530688,4.89675,3.73062,3.49129
nbeats-large.onnx,OpenVINO,512,0,ok,7.44029e+07,14093.2,7.44029e+07,7.44029e+07,7.44029e+07,14093.2,1048576,100,247609,934100,1.26776e+08,4.78259e+08,1575.15,10.5912,0.310217,0.00544329,2.71486,3.77248,3.48953
nbeats-large.onnx,OpenVINO,1024,0,ok,7.39316e+07,14183.1,7.39316e+07,7.39316e+07,7.39316e+07,14183.1,1048576,162,246153,931528,2.52061e+08,9.53884e+08,1613.54,9.8377,0.248352,0.00639439,1.85005,3.78434,3.49174
nbeats-large.onnx,OpenVINO,2048,0,ok,7.3976e+07,14174.6,7.3976e+07,7.3976e+07,7.3976e+07,14174.6,1048576,286,246079,930232,5.0397e+08,1.90511e+09,1696.04,16.3528,0.280727,0.00665912,1.60188,3.78021,3.48927
nbeats-large.onnx,OpenVINO,4096,0,ok,7.38344e+07,14201.7,7.38344e+07,7.38344e+07,7.38344e+07,14201.7,1048576,534,245800,929589,1.0068e+09,3.8076e+09,1521.45,17.0559,0.254865,0.00679542,11.9517,3.78188,3.49181
nbeats-medium.onnx,OpenVINO,1,0,ok,2.40937e+08,4352.07,2.40937e+08,2.40937e+08,2.40937e+08,4352.07,1048576,1034,802053,1.24042e+06,802053,1.24042e+06,64608.6,105.878,0.690531,0.00262183,839.291,1.54655,3.4916
nbeats-medium.onnx,OpenVINO,2,0,ok,1.36184e+08,7699.68,1.36184e+08,1.36184e+08,1.36184e+08,7699.68,1048576,524,453288,980770,906576,1.96154e+06,24770.7,35.3351,0.261319,0.00211005,377.629,2.16368,3.4906
nbeats-medium.onnx,OpenVINO,4,0,ok,1.05669e+08,9923.17,1.05669e+08,1.05669e+08,1.05669e+08,9923.17,1048576,268,351770,858297,1.40708e+06,3.43319e+06,14847.8,27.7271,0.346539,0.00207319,194.358,2.43994,3.49135
nbeats-medium.onnx,OpenVINO,8,0,ok,7.34365e+07,14278.7,7.34365e+07,7.34365e+07,7.34365e+07,14278.7,1048576,140,244389,671144,1.95511e+06,5.36915e+06,7942.82,17.7773,0.33245,0.00262864,94.4069,2.74622,3.48937
nbeats-medium.onnx,OpenVINO,16,0,ok,5.403e+07,19407.3,5.403e+07,5.403e+07,5.403e+07,19407.3,1048576,76,179915,649165,2.87864e+06,1.03866e+07,1241.36,2.66528,0.188686,0.00274976,33.3853,3.60818,3.4913
nbeats-medium.onnx,OpenVINO,32,0,ok,4.64153e+07,22591.2,4.64153e+07,4.64153e+07,4.64153e+07,22591.2,1048576,62,154418,560748,4.94136e+06,1.79439e+07,1581.89,1.62745,0.131735,0.00349583,18.7577,3.63137,3.48796
nbeats-medium.onnx,OpenVINO,64,0,ok,4.09217e+07,25624,4.09217e+07,4.09217e+07,4.09217e+07,25624,1048576,58,136266,506687,8.72101e+06,3.2428e+07,1404.37,1.88159,0.159586,0.00428941,9.39066,3.71838,3.49122
nbeats-medium.onnx,OpenVINO,128,0,ok,3.84011e+07,27305.9,3.84011e+07,3.84011e+07,3.84011e+07,27305.9,1048576,58,127911,483003,1.63726e+07,6.18244e+07,833.626,0.972185,0.0601289,0.00457791,4.58416,3.77609,3.49177
nbeats-medium.onnx,OpenVINO,256,0,ok,3.79011e+07,27666.1,3.79011e+07,3.79011e+07,3.79011e+07,27666.1,1048576,70,126233,473749,3.23157e+07,1.2128e+08,811.667,4.07739,0.246298,0.00507787,2.61604,3.75297,3.49138
nbeats-medium.onnx,OpenVINO,512,0,ok,3.73015e+07,28110.9,3.73015e+07,3.73015e+07,3.73015e+07,28110.9,1048576,100,124202,469128,6.35915e+07,2.40193e+08,786.156,4.38761,0.238546,0.0052957,1.66648,3.77713,3.491
nbeats-medium.onnx,OpenVINO,1024,0,ok,3.70427e+07,28307.2,3.70427e+07,3.70427e+07,3.70427e+07,28307.2,1048576,162,123323,466834,1.26283e+08,4.78038e+08,799.057,3.84202,0.172836,0.0058651,1.14672,3.78544,3.49134
nbeats-medium.onnx,OpenVINO,2048,0,ok,3.67718e+07,28515.8,3.67718e+07,3.67718e+07,3.67718e+07,28515.8,1048576,286,122444,465608,2.50766e+08,9.53565e+08,807.007,4.04101,0.172136,0.00639096,0.85717,3.80261,3.49189
nbeats-medium.onnx,OpenVINO,4096,0,ok,3.71393e+07,28233.6,3.71393e+07,3.71393e+07,3.71393e+07,28233.6,1048576,534,123453,465079,5.05662e+08,1.90497e+09,770.366,11.5566,0.407325,0.00653752,5.09159,3.76727,3.48684
nbeats-small.onnx,OpenVINO,1,0,ok,1.32976e+08,7885.45,1.32976e+08,1.32976e+08,1.32976e+08,7885.45,1048576,1034,442764,841619,442764,841619,31436,29.8764,0.145757,0.00221307,243.812,1.90083,3.49188
