policy,scope,key_bytes,prediction_bytes,capacity,pool_keys,threads,hit_percent,repetition,ops_per_thread,total_ops,makespan_us,throughput_ops_per_second,ns_per_op_mean,ns_per_op_min_thread,ns_per_op_max_thread,hits,misses,observed_hit_rate,expected_hit_rate,status
LRU,private,8,64,64,128,1,0,0,200000,200000,39809.2,5.02396e+06,199.046,199.046,199.046,0,200000,0,0,ok
LRU,private,8,64,64,128,1,0,1,200000,200000,37819.6,5.28826e+06,189.098,189.098,189.098,0,200000,0,0,ok
LRU,private,8,64,64,128,1,0,2,200000,200000,37771.6,5.29499e+06,188.858,188.858,188.858,0,200000,0,0,ok
LRU,shared,8,64,64,128,1,0,0,200000,200000,39933.6,5.00831e+06,199.668,199.668,199.668,0,200000,0,0,ok
LRU,shared,8,64,64,128,1,0,1,200000,200000,43933.4,4.55235e+06,219.667,219.667,219.667,0,200000,0,0,ok
LRU,shared,8,64,64,128,1,0,2,200000,200000,37885.9,5.27901e+06,189.43,189.43,189.43,0,200000,0,0,ok
LRU,private,8,64,64,128,1,50,0,200000,200000,28047.6,7.13075e+06,140.238,140.238,140.238,100000,100000,0.5,0.5,ok
LRU,private,8,64,64,128,1,50,1,200000,200000,27168.4,7.36149e+06,135.842,135.842,135.842,100000,100000,0.5,0.5,ok
LRU,private,8,64,64,128,1,50,2,200000,200000,30208.6,6.62064e+06,151.043,151.043,151.043,100000,100000,0.5,0.5,ok
LRU,shared,8,64,64,128,1,50,0,200000,200000,28075.1,7.12375e+06,140.376,140.376,140.376,100000,100000,0.5,0.5,ok
LRU,shared,8,64,64,128,1,50,1,200000,200000,28093.6,7.11905e+06,140.468,140.468,140.468,100000,100000,0.5,0.5,ok
LRU,shared,8,64,64,128,1,50,2,200000,200000,29936.2,6.68088e+06,149.681,149.681,149.681,100000,100000,0.5,0.5,ok
LRU,private,8,64,64,128,1,100,0,200000,200000,6773.62,2.95263e+07,33.8681,33.8681,33.8681,199999,1,0.999995,0.999995,ok
LRU,private,8,64,64,128,1,100,1,200000,200000,7499.28,2.66692e+07,37.4964,37.4964,37.4964,199999,1,0.999995,0.999995,ok
