sample,min,max
1600,-0.039673,0.026245
4800,-0.619415,0.510681
8000,-0.068604,0.065430
11200,-0.428223,0.308807
14400,-0.663239,0.580536
17600,-0.810516,0.807465
20800,-0.886108,0.936157
24000,-0.608490,0.535034
27200,-0.671722,0.692474
30400,-0.489868,0.451599
33600,-0.328552,0.298828
36800,-0.309204,0.328796
40000,-0.726959,0.911957
43200,-0.330383,0.302917
46400,-0.091461,0.098389
49600,-0.092987,0.107758
52800,-0.627350,0.700378
56000,-0.546326,0.663940
59200,-0.236237,0.320740
62400,-0.231659,0.237518
65600,-0.737457,0.690918
68800,-0.879242,0.665710
72000,-0.354156,0.313049
75200,-0.679321,0.851196
78400,-0.497833,0.632690
81600,-0.497742,0.587097
84800,-0.289215,0.288177
88000,-0.422516,0.451050
91200,-0.311676,0.299591
94400,-0.225677,0.225952
97600,-0.071289,0.086182
100800,-0.006165,0.006958
104000,-0.009338,0.008698
107200,-0.014282,0.011810
110400,-0.161041,0.172668
113600,-0.436188,0.441650
116800,-0.903015,0.700226
120000,-0.451447,0.402679
123200,-0.400391,0.346802
126400,-0.498535,0.450378
129600,-0.234985,0.238129
132800,-0.121216,0.139191
136000,-0.206635,0.125092
139200,-0.930847,0.717163
142400,-0.402222,0.569855
145600,-0.386169,0.582520
148800,-0.242432,0.359711
152000,-0.300232,0.349884
155200,-0.268738,0.343384
158400,-0.150085,0.225708
161600,-0.009186,0.010742
164800,-0.642578,0.712036
168000,-0.866486,0.972107
171200,-0.291260,0.273132
174400,-0.238007,0.238403
177600,-0.274475,0.211700
180800,-0.224854,0.161194
184000,-0.206604,0.121033
187200,-0.014191,0.015839
190400,-0.491791,0.422211
193600,-0.166534,0.136993
196800,-0.173309,0.197510
200000,-0.150116,0.178009
203200,-0.122009,0.093689
206400,-0.031830,0.043304
209600,-0.549530,0.522247
212800,-0.597931,0.627563
216000,-0.472748,0.487793
219200,-0.027557,0.034027
222400,-0.013885,0.016724
225600,-0.576935,0.534882
228800,-0.542755,0.504395
232000,-0.217682,0.190002
235200,-0.206390,0.238983
238400,-0.207550,0.156647
241600,-0.313141,0.294830
244800,-0.151184,0.141571
248000,-0.358765,0.294861
251200,-0.025940,0.025360
254400,-0.308472,0.237274
257600,-0.352325,0.343292
260800,-0.555756,0.607086
264000,-0.411621,0.312256
267200,-0.255615,0.175720
